,time,open,high,low,close,tick_volume,spread,real_volume
50,1717796520,2300.84,2302.24,2300.57,2301.07,334,19,0
51,1717796700,2301.11,2302.22,2300.41,2301.15,327,19,0
52,1717796880,2301.13,2301.15,2299.9,2300.24,328,19,0
53,1717797060,2300.26,2301.67,2300.04,2301.18,299,19,0
54,1717797240,2301.17,2301.82,2300.87,2300.87,248,19,0
55,1717797420,2300.89,2301.57,2300.5,2301.46,268,19,0
56,1717797600,2301.44,2301.45,2299.57,2300.45,488,19,0
57,1717797780,2300.44,2301.38,2300.44,2301.19,358,19,0
58,1717797960,2301.19,2301.41,2299.53,2300.23,356,19,0
59,1717798140,2300.23,2300.25,2297.86,2297.88,447,19,0
60,1717798320,2297.92,2298.57,2296.51,2297.4,426,19,0
61,1717798500,2297.39,2297.77,2296.41,2296.48,331,19,0
62,1717798680,2296.46,2296.91,2294.95,2296.12,363,19,0
63,1717798860,2296.09,2296.25,2293.78,2294.43,455,19,0
64,1717799040,2294.29,2295.75,2294.28,2295.75,396,19,0
65,1717799220,2295.76,2295.87,2294.46,2295.13,393,19,0
66,1717799400,2295.12,2295.56,2293.89,2293.89,416,20,0
67,1717799580,2293.89,2294.45,2292.92,2294.3,405,19,0
68,1717799760,2294.32,2294.77,2293.41,2293.57,382,19,0
69,1717799940,2293.57,2294.06,2293.46,2293.72,306,19,0
70,1717800120,2293.74,2294.33,2293.51,2293.68,413,19,0
71,1717800300,2293.72,2294.09,2292.21,2292.28,655,19,0
72,1717800480,2292.29,2292.59,2289.58,2291.11,643,19,0
73,1717800660,2291.17,2292.24,2290.9,2291.67,486,19,0
74,1717800840,2291.65,2291.65,2289.06,2289.32,517,19,0
75,1717801020,2289.33,2289.36,2287.61,2288.19,586,19,0
76,1717801200,2288.25,2288.87,2287.89,2288.69,357,19,0
77,1717801380,2288.68,2288.69,2287.54,2287.66,216,19,0
78,1717801560,2287.67,2288.67,2287.65,2288.04,251,19,0
79,1717801740,2288.08,2288.96,2287.57,2287.89,287,19,0
80,1717801920,2287.89,2288.16,2286.68,2286.89,246,19,0
81,1717802100,2286.92,2288.03,2286.87,2287.35,145,19,0
82,1717802280,2287.35,2290.64,2287.23,2290.64,261,19,0
83,1717802460,2290.64,2291.98,2290.27,2290.85,287,19,0
84,1717802640,2290.7,2291.43,2290.62,2291.06,183,19,0
85,1717802820,2291.08,2291.39,2290.54,2290.91,316,19,0
86,1717803000,2290.92,2291.99,2290.78,2291.74,229,19,0
87,1717803180,2291.75,2291.75,2290.14,2290.97,257,19,0
88,1717803360,2290.47,2290.97,2290.36,2290.67,230,19,0
89,1717803540,2290.69,2291.34,2290.69,2291.01,150,19,0
90,1717803720,2291.01,2291.7,2290.88,2291.39,211,19,0
91,1717803900,2291.39,2293.01,2290.7,2293.01,215,19,0
92,1717804080,2293.0,2294.22,2293.0,2293.24,259,19,0
93,1717804260,2293.24,2293.57,2292.47,2293.21,160,20,0
94,1717804440,2293.21,2293.52,2292.7,2293.33,219,22,0
95,1717804620,2293.2,2293.94,2293.2,2293.72,72,19,0
96,1717981200,2293.91,2294.77,2292.04,2292.26,239,19,0
97,1717981380,2292.26,2292.74,2288.95,2292.74,254,19,0
98,1717981560,2292.74,2294.14,2292.31,2293.9,181,20,0
99,1717981740,2293.86,2294.83,2293.5,2294.75,178,33,0
100,1717981920,2294.75,2295.29,2294.02,2294.93,167,30,0
101,1717982100,2294.93,2295.81,2294.51,2295.04,146,25,0
102,1717982280,2295.03,2295.05,2294.03,2294.04,95,39,0
103,1717982460,2294.02,2294.14,2293.34,2293.66,96,21,0
104,1717982640,2293.67,2293.77,2293.04,2293.14,89,19,0
105,1717982820,2293.12,2293.76,2292.61,2293.56,80,19,0
106,1717983000,2293.56,2295.29,2293.36,2295.29,190,19,0
107,1717983180,2295.3,2295.87,2294.63,2294.69,146,19,0
108,1717983360,2294.56,2294.65,2294.07,2294.08,95,19,0
109,1717983540,2294.07,2295.39,2293.93,2295.27,96,19,0
110,1717983720,2295.26,2296.2,2295.15,2296.16,133,19,0
111,1717983900,2296.16,2296.68,2296.0,2296.58,111,19,0
112,1717984080,2296.63,2296.66,2295.87,2295.94,112,19,0
113,1717984260,2295.96,2295.97,2294.97,2295.8,118,19,0
114,1717984440,2295.8,2298.38,2295.8,2297.37,260,19,0
115,1717984620,2297.32,2297.62,2296.58,2297.46,194,19,0
116,1717984800,2297.34,2298.43,2296.99,2297.54,222,19,0
117,1717984980,2297.56,2297.92,2296.73,2297.29,126,19,0
118,1717985160,2297.31,2297.75,2296.94,2296.94,102,19,0
119,1717985340,2296.92,2297.04,2296.49,2296.94,95,20,0
120,1717985520,2296.88,2297.64,2296.74,2297.45,89,19,0
121,1717985700,2297.37,2297.47,2297.09,2297.1,45,20,0
122,1717985880,2297.09,2297.7,2296.91,2297.67,70,19,0
123,1717986060,2297.67,2297.99,2297.38,2297.66,100,19,0
124,1717986240,2297.65,2298.86,2297.5,2298.71,112,19,0
125,1717986420,2298.71,2299.0,2297.96,2298.72,143,19,0
126,1717986600,2298.75,2298.75,2298.15,2298.42,75,19,0
127,1717986780,2298.44,2299.33,2298.42,2299.21,76,19,0
128,1717986960,2299.16,2299.6,2298.87,2299.57,184,19,0
129,1717987140,2299.53,2300.03,2299.05,2299.7,274,19,0
130,1717987320,2299.7,2299.88,2299.16,2299.6,171,19,0
131,1717987500,2299.56,2299.9,2299.04,2299.65,170,19,0
132,1717987680,2299.69,2299.7,2298.84,2299.19,141,19,0
133,1717987860,2299.18,2299.45,2298.86,2298.9,142,19,0
134,1717988040,2298.89,2298.98,2298.36,2298.36,108,19,0
135,1717988220,2298.38,2298.75,2298.12,2298.48,143,19,0
136,1717988400,2298.47,2299.03,2298.06,2298.92,279,19,0
137,1717988580,2298.95,2299.75,2298.78,2299.28,260,19,0
138,1717988760,2299.16,2299.17,2298.34,2298.68,263,19,0
139,1717988940,2298.69,2298.69,2297.44,2297.44,215,19,0
140,1717989120,2297.44,2297.45,2296.12,2296.42,274,19,0
141,1717989300,2296.42,2296.54,2295.0,2295.1,298,19,0
142,1717989480,2295.12,2296.07,2294.56,2295.52,292,19,0
143,1717989660,2295.43,2295.53,2294.32,2294.5,218,19,0
144,1717989840,2294.5,2294.72,2294.13,2294.17,223,19,0
145,1717990020,2294.15,2295.75,2294.11,2295.73,252,19,0
146,1717990200,2295.8,2296.73,2295.7,2296.67,305,19,0
147,1717990380,2296.68,2296.75,2295.79,2295.95,219,19,0
148,1717990560,2295.94,2296.71,2295.76,2296.3,211,19,0
149,1717990740,2296.31,2296.39,2294.51,2295.85,248,19,0
150,1717990920,2295.83,2295.87,2295.1,2295.66,159,19,0
151,1717991100,2295.64,2295.84,2295.16,2295.18,169,19,0
152,1717991280,2295.19,2295.46,2294.71,2294.79,189,19,0
153,1717991460,2294.79,2295.82,2294.75,2295.79,153,19,0
154,1717991640,2295.79,2296.01,2295.17,2296.01,217,19,0
155,1717991820,2296.01,2297.1,2296.0,2296.99,283,19,0
156,1717992000,2296.95,2297.08,2295.76,2295.77,270,19,0
157,1717992180,2295.78,2295.92,2294.81,2294.81,245,19,0
158,1717992360,2294.78,2295.01,2294.35,2294.45,172,19,0
159,1717992540,2294.45,2295.3,2293.93,2295.3,299,19,0
160,1717992720,2295.32,2295.36,2294.68,2295.03,199,19,0
161,1717992900,2295.02,2295.5,2294.96,2295.45,202,19,0
162,1717993080,2295.39,2296.29,2295.23,2295.33,186,19,0
163,1717993260,2295.34,2295.41,2294.93,2294.95,161,19,0
164,1717993440,2294.94,2295.06,2294.25,2294.59,173,19,0
165,1717993620,2294.57,2295.25,2294.52,2294.85,216,19,0
